,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,state
0,,,,2021-01-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,57,59,,||RA,0.07,8.0,93.0,29.95,8,29.29,6.84,58.0,110,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN09272323 11361 81110 10150 20139 39918 40142 58025 69901 761// 90553 333 10150 20100 555 90106=,FM-12,FM-12,4.0,4.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,alabama
1,,,,2021-01-01T23:59:00,,,,54.0,60,75.0,29.88,29.21,58.0,13.1,0,18.5,5,74,45.0,190,33,0.42,0,0.0,210.0,26.0,TS RA BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75724 HR PRECIPITATION (IN): 0.42 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):13  24 HR MAX TEMP (F): 7424 HR MIN TEMP (F): 45AVERAGE STATION PRESSURE:29.205 MINIMUM SEA LEVEL PRESSURE:29.78 TIME OF OCCURRENCE:1401 PEAK WIND SPEED (MPH): 33 PEAK WIND DIR (DEG):190 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 26FASTEST 2MIN DIR (DEG):210 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):13.1 24 HR AVG TEMP (F): 60DEPART FROM NORMAL: 18  HEATING DEGREE DAYS:  5 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):74  LATEST NIGHT MIN TEMP(1900-0800 LST):50 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.03 0.05 0.04 0.01 0.01 0.02 0.19 0.04 0.00 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,654.0,1647.0,alabama
2,,,,2021-01-02T23:59:00,,,,40.0,48,78.0,30.02,29.34,44.0,5.1,0,6.5,17,57,39.0,260,24,T,0,0.0,240.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5724 HR MIN TEMP (F): 39AVERAGE STATION PRESSURE:29.335 MINIMUM SEA LEVEL PRESSURE:29.95 TIME OF OCCURRENCE:1554 PEAK WIND SPEED (MPH): 24 PEAK WIND DIR (DEG):260 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 20FASTEST 2MIN DIR (DEG):240 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.1 24 HR AVG TEMP (F): 48DEPART FROM NORMAL:  6  HEATING DEGREE DAYS: 17 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):57  LATEST NIGHT MIN TEMP(1900-0800 LST):39 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 T    0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1648.0,alabama
3,,,,2021-01-03T23:59:00,,,,32.0,41,70.0,30.1,29.39,37.0,7.2,0,-0.4,24,49,33.0,250,21,T,0,0.0,260.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 4924 HR MIN TEMP (F): 33AVERAGE STATION PRESSURE:29.395 MINIMUM SEA LEVEL PRESSURE:30.04 TIME OF OCCURRENCE:0026 PEAK WIND SPEED (MPH): 21 PEAK WIND DIR (DEG):250 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):260 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 7.2 24 HR AVG TEMP (F): 41DEPART FROM NORMAL:  0  HEATING DEGREE DAYS: 24 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):49  LATEST NIGHT MIN TEMP(1900-0800 LST):38 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 T    T    0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1649.0,alabama
4,,,,2021-01-04T23:59:00,,,,37.0,43,76.0,30.05,29.34,41.0,5.4,0,1.7,22,57,28.0,220,20,0.00,0,0.0,210.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5724 HR MIN TEMP (F): 28AVERAGE STATION PRESSURE:29.335 MINIMUM SEA LEVEL PRESSURE:29.97 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 20 PEAK WIND DIR (DEG):220 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 15FASTEST 2MIN DIR (DEG):210 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.4 24 HR AVG TEMP (F): 43DEPART FROM NORMAL:  2  HEATING DEGREE DAYS: 22 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):57  LATEST NIGHT MIN TEMP(1900-0800 LST):28 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1650.0,alabama
5,,,,2021-01-05T23:59:00,,,,33.0,42,72.0,30.11,29.43,38.0,5.4,0,0.7,23,54,30.0,010,17,0.00,0,0.0,320.0,13.0,FG BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD75724 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  WEATHER(CODE):12  24 HR MAX TEMP (F): 5424 HR MIN TEMP (F): 30AVERAGE STATION PRESSURE:29.430 MINIMUM SEA LEVEL PRESSURE:29.97 TIME OF OCCURRENCE:0014 PEAK WIND SPEED (MPH): 17 PEAK WIND DIR (DEG): 10 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 13FASTEST 2MIN DIR (DEG):320 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 5.4 24 HR AVG TEMP (F): 42DEPART FROM NORMAL:  1  HEATING DEGREE DAYS: 23 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):54  LATEST NIGHT MIN TEMP(1900-0800 LST):33 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1651.0,alabama
6,,,,2021-01-06T23:59:00,,,,29.0,40,65.0,30.18,29.48,36.0,3.3,0,-1.3,25,54,26.0,100,13,0.00,0,0.0,100.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD73924 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 5424 HR MIN TEMP (F): 26AVERAGE STATION PRESSURE:29.480 MINIMUM SEA LEVEL PRESSURE:30.11 TIME OF OCCURRENCE:2359 PEAK WIND SPEED (MPH): 13 PEAK WIND DIR (DEG):100 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH):  9FASTEST 2MIN DIR (DEG):100 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 3.3 24 HR AVG TEMP (F): 40DEPART FROM NORMAL: -1  HEATING DEGREE DAYS: 25 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):54  LATEST NIGHT MIN TEMP(1900-0800 LST):26 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1651.0,alabama
7,,,,2021-01-07T23:59:00,,,,32.0,41,75.0,30.0,29.29,37.0,10.5,0,-0.2,24,46,36.0,110,28,0.51,0,T,100.0,23.0,RA SN BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD76024 HR PRECIPITATION (IN): 0.51 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):T    WEATHER(CODE):1  24 HR MAX TEMP (F): 4624 HR MIN TEMP (F): 36AVERAGE STATION PRESSURE(D):29.291 MINIMUM SEA LEVEL PRESSURE:29.90 TIME OF OCCURRENCE:1504 PEAK WIND SPEED (MPH): 28 PEAK WIND DIR (DEG):110 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 23FASTEST 2MIN DIR (DEG):100 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):10.5 24 HR AVG TEMP (F): 41DEPART FROM NORMAL:  0  HEATING DEGREE DAYS: 24 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST): 46 LATEST NIGHT MIN TEMP(1900-0800 LST):37 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02T    T    T     0.02T     0.16 0.06 0.18 0.06T     0.01 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1652.0,alabama
8,,,,2021-01-08T23:59:00,,,,31.0,36,83.0,30.09,29.39,34.0,10.4,0,-5.2,29,38,34.0,330,22,T,0,T,340.0,17.0,RA DZ BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD78324 HR PRECIPITATION (IN):    T SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):T    WEATHER(CODE):1  24 HR MAX TEMP (F): 3824 HR MIN TEMP (F): 34AVERAGE STATION PRESSURE:29.390 MINIMUM SEA LEVEL PRESSURE:29.95 TIME OF OCCURRENCE:0054 PEAK WIND SPEED (MPH): 22 PEAK WIND DIR (DEG):330 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 17FASTEST 2MIN DIR (DEG):340 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH):10.4 24 HR AVG TEMP (F): 36DEPART FROM NORMAL: -5  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 29 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):38  LATEST NIGHT MIN TEMP(1900-0800 LST):35 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 T    T    0.00 0.00 0.00 0.00 0.00 T    0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1653.0,alabama
9,,,,2021-01-09T23:59:00,,,,25.0,33,72.0,30.25,29.56,31.0,9.1,0,-8.2,32,35,31.0,350,18,0.00,0,0.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOD76624 HR PRECIPITATION (IN): 0.00 SNOW DEPTH (IN):0     24 HR SNOWFALL (IN):0.0  24 HR MAX TEMP (F): 3524 HR MIN TEMP (F): 31AVERAGE STATION PRESSURE:29.560 MINIMUM SEA LEVEL PRESSURE:30.16 TIME OF OCCURRENCE:0114 PEAK WIND SPEED (MPH): 18 PEAK WIND DIR (DEG):350 PEAK WIND TIME (LST):      FASTEST 2MIN SPEED (MPH): 14FASTEST 2MIN DIR (DEG): 10 FASTEST 2MIN TIME (LST):     AVERAGE WIND SPEED (MPH): 9.1 24 HR AVG TEMP (F): 33DEPART FROM NORMAL: -8  SKY COVER SR-SS (TENTHS): 1HEATING DEGREE DAYS: 32 COOLING DEGREE DAYS:  0 LATEST DAY MAX TEMP (0700-1900 LST):35  LATEST NIGHT MIN TEMP(1900-0800 LST):33 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00,SOD  ,SOD  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,655.0,1654.0,alabama
